2019-12-26 00:32:22.935 | cluster-ClusterId{value='5e038f1648751eabc9c6080e', description='null'}-118.190.172.69:27017 | INFO  | c.m.d.l.SLF4JLogger:SLF4JLogger.java(71) | Opened connection [connectionId{localValue:1, serverValue:559}] to 118.190.172.69:27017
2019-12-26 00:32:23.015 | cluster-ClusterId{value='5e038f1648751eabc9c6080e', description='null'}-118.190.172.69:27017 | INFO  | c.m.d.l.SLF4JLogger:SLF4JLogger.java(71) | Monitor thread successfully connected to server with description ServerDescription{address=118.190.172.69:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 0, 13]}, minWireVersion=0, maxWireVersion=7, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=79195299}
2019-12-26 00:32:23.016 | cluster-ClusterId{value='5e038f1648751eabc9c6080e', description='null'}-118.190.172.69:27017 | INFO  | c.m.d.l.SLF4JLogger:SLF4JLogger.java(71) | Discovered cluster type of STANDALONE
2019-12-26 00:32:23.250 | main | WARN  | o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration:JpaBaseConfiguration.java(237) | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-12-26 00:32:23.458 | main | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping:PropertySourcedRequestMappingHandlerMapping.java(69) | Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-12-26 00:32:23.740 | main | INFO  | o.s.s.c.ExecutorConfigurationSupport:ExecutorConfigurationSupport.java(171) | Initializing ExecutorService 'applicationTaskExecutor'
2019-12-26 00:32:24.092 | main | INFO  | s.d.s.w.p.DocumentationPluginsBootstrapper:DocumentationPluginsBootstrapper.java(160) | Context refreshed
2019-12-26 00:32:24.107 | main | INFO  | s.d.s.w.p.DocumentationPluginsBootstrapper:DocumentationPluginsBootstrapper.java(163) | Found 1 custom documentation plugin(s)
2019-12-26 00:32:24.132 | main | INFO  | s.d.s.w.s.ApiListingReferenceScanner:ApiListingReferenceScanner.java(41) | Scanning for api listing references
2019-12-26 00:32:24.367 | main | INFO  | s.d.s.w.r.o.CachingOperationNameGenerator:CachingOperationNameGenerator.java(40) | Generating unique operation named: getTopicWithProductUsingGET_1
2019-12-26 00:32:24.391 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting ProtocolHandler ["http-nio-9999"]
2019-12-26 00:32:24.418 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(204) | Tomcat started on port(s): 9999 (http) with context path ''
2019-12-26 00:32:24.421 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(59) | Started Start in 6.067 seconds (JVM running for 6.692)
2019-12-26 00:33:27.300 | http-nio-9999-exec-1 | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-26 00:33:27.301 | http-nio-9999-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(524) | Initializing Servlet 'dispatcherServlet'
2019-12-26 00:33:27.313 | http-nio-9999-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(546) | Completed initialization in 12 ms
2019-12-26 00:37:40.574 | Thread-15 | INFO  | o.s.s.c.ExecutorConfigurationSupport:ExecutorConfigurationSupport.java(208) | Shutting down ExecutorService 'applicationTaskExecutor'
2019-12-26 00:37:40.579 | Thread-15 | INFO  | o.s.o.j.AbstractEntityManagerFactoryBean:AbstractEntityManagerFactoryBean.java(597) | Closing JPA EntityManagerFactory for persistence unit 'default'
2019-12-26 00:37:40.581 | Thread-15 | INFO  | c.z.h.HikariDataSource:HikariDataSource.java(350) | ShangchaoHikariCP - Shutdown initiated...
2019-12-26 00:37:40.584 | Thread-15 | INFO  | c.z.h.HikariDataSource:HikariDataSource.java(352) | ShangchaoHikariCP - Shutdown completed.
2019-12-26 00:37:46.006 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(50) | Starting Start on fsl with PID 44117 (/Users/fsl/projects/houtaifuwu/target/classes started by fsl in /Users/fsl/projects/houtaifuwu)
2019-12-26 00:37:46.009 | main | INFO  | o.s.b.SpringApplication:SpringApplication.java(675) | No active profile set, falling back to default profiles: default
2019-12-26 00:37:46.877 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(244) | Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-26 00:37:46.878 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(126) | Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-26 00:37:46.903 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(182) | Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
2019-12-26 00:37:46.918 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(244) | Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-26 00:37:46.918 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(126) | Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-26 00:37:46.922 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(182) | Finished Spring Data repository scanning in 4ms. Found 0 repository interfaces.
2019-12-26 00:37:46.929 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(244) | Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-26 00:37:46.931 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(126) | Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-26 00:37:46.940 | main | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate:RepositoryConfigurationDelegate.java(182) | Finished Spring Data repository scanning in 4ms. Found 0 repository interfaces.
2019-12-26 00:37:47.132 | main | INFO  | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:PostProcessorRegistrationDelegate.java(330) | Bean 'shiroConfig' of type [com.shangchao.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$e50956f0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-26 00:37:47.163 | main | INFO  | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:PostProcessorRegistrationDelegate.java(330) | Bean 'org.springframework.boot.autoconfigure.data.redis.RedisAutoConfiguration' of type [org.springframework.boot.autoconfigure.data.redis.RedisAutoConfiguration$$EnhancerBySpringCGLIB$$bacc0a94] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-26 00:37:47.177 | main | INFO  | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:PostProcessorRegistrationDelegate.java(330) | Bean 'spring.redis-org.springframework.boot.autoconfigure.data.redis.RedisProperties' of type [org.springframework.boot.autoconfigure.data.redis.RedisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-26 00:37:47.181 | main | INFO  | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:PostProcessorRegistrationDelegate.java(330) | Bean 'org.springframework.boot.autoconfigure.data.redis.JedisConnectionConfiguration' of type [org.springframework.boot.autoconfigure.data.redis.JedisConnectionConfiguration$$EnhancerBySpringCGLIB$$667090ed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-26 00:37:47.206 | main | INFO  | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:PostProcessorRegistrationDelegate.java(330) | Bean 'redisConnectionFactory' of type [org.springframework.data.redis.connection.jedis.JedisConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-26 00:37:47.217 | main | INFO  | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:PostProcessorRegistrationDelegate.java(330) | Bean 'redisTemplate' of type [org.springframework.data.redis.core.RedisTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
